Name;Player ID
Remy Bertola;sr:competitor:145108
Maximilian Marterer;sr:competitor:71660
Petr Bar Biryukov;sr:competitor:768772
Naoki Nakagawa;sr:competitor:52069
Christian Langmo;sr:competitor:103313
Diego Dedura-Palomero;sr:competitor:1034817
Raul Brancaccio;sr:competitor:123694
Joel Josef Schwarzler;sr:competitor:938667
Pedro Boscardin Dias;sr:competitor:434058
Andre Ilagan;sr:competitor:312088
Gabriel Debru;sr:competitor:774476
Alastair Gray;sr:competitor:262679
Inaki Montes de la Torre;sr:competitor:457059
Mats Rosenkranz;sr:competitor:157394
Nicholas David Ionel;sr:competitor:336423
Pablo Llamas Ruiz;sr:competitor:371448
Gregoire Barrere;sr:competitor:67154
Hyeon Chung;sr:competitor:83211
Hiroki Moriya;sr:competitor:32466
Milos Karol;sr:competitor:628218
Masamichi Imamura;sr:competitor:207777
Henri Squire;sr:competitor:229022
Guido Ivan Justo;sr:competitor:341188
Fabrizio Andaloro;sr:competitor:461029
Daniil Glinka;sr:competitor:233184
Alfredo Perez;sr:competitor:134602
Toby Alex Kodat;sr:competitor:499100
Gonzalo Villanueva;sr:competitor:85877
Mateus Alves;sr:competitor:221556
Lloyd Harris;sr:competitor:157808
Gilles Arnaud Bailly;sr:competitor:870877
Alex Molcan;sr:competitor:145130
Andrej Nedic;sr:competitor:580167
Oleksandr Ovcharenko;sr:competitor:301896
Zdenek Kolar;sr:competitor:132558
Adrian Andreev;sr:competitor:230468
Giovanni Fonio;sr:competitor:175070
Kilian Feldbausch;sr:competitor:780796
Lucas Poullain;sr:competitor:135778
Abedallah Shelbayh;sr:competitor:428657
Ricardas Berankis;sr:competitor:22956
Maximilian Neuchrist;sr:competitor:46259
Svyatoslav Gulin;sr:competitor:863263
Aryan Shah;sr:competitor:920395
Laurent Lokoli;sr:competitor:66002
Franco Roncadelli;sr:competitor:305558
Rudolf Molleker;sr:competitor:231192
Maximus Jones;sr:competitor:663757
Mariano Kestelboim;sr:competitor:99377
Seongchan Hong;sr:competitor:97977
Bernabé Zapata Miralles;sr:competitor:108565
Gabi Adrian Boitan;sr:competitor:275393
Lukas Pokorny;sr:competitor:723013
Tom Gentzsch;sr:competitor:787144
Karan Singh;sr:competitor:783794
Oliver Tarvet;sr:competitor:812472
Darwin Blanch;sr:competitor:873695
Sandro Kopp;sr:competitor:210502
Florent Bax;sr:competitor:269523
Dennis Novak;sr:competitor:59304
Lilian Marmousez;sr:competitor:321665
Paul Jubb;sr:competitor:242548
Federico Bondioli;sr:competitor:873679
Pedro Sakamoto;sr:competitor:65576
Gabriele Piraino;sr:competitor:791648
Juan Carlos Aguilar;sr:competitor:214824
Kyle Edmund;sr:competitor:65382
Franco Agamenone;sr:competitor:65606
Henry Searle;sr:competitor:871807
Marvin Moeller;sr:competitor:269571
Yusuke Takahashi;sr:competitor:177644
Vadym Ursu;sr:competitor:111857
Miguel Damas;sr:competitor:197674
Alexandr Binda;sr:competitor:494844
Kasidit Samrej;sr:competitor:280449
Neil Oberleitner;sr:competitor:280601
Matthew Dellavedova;sr:competitor:196440
Stefan Dostanic;sr:competitor:402317
Enrico Dalla Valle;sr:competitor:106153
Charles Broom;sr:competitor:216502
Max Alcalá Gurri;sr:competitor:422993
Kris van Wyk;sr:competitor:156826
Marc Polmans;sr:competitor:80665
Ryan Nijboer;sr:competitor:303808
Stefan Kozlov;sr:competitor:77007
Alvin Nicholas Tudorica;sr:competitor:364924
Sanhui Shin;sr:competitor:220932
Cezar Cretu;sr:competitor:205767
Manuel Guinard;sr:competitor:121182
Max Wiskandt;sr:competitor:508496
Gerard Campana Lee;sr:competitor:787154
Tibo Colson;sr:competitor:341218
Max Purcell;sr:competitor:124658
Martin Damm Jr;sr:competitor:51345
Jakub Nicod;sr:competitor:763110
Iliyan Radulov;sr:competitor:915951
Oleksii Krutykh;sr:competitor:286367
Michael Zheng;sr:competitor:807574
Stuart Parker;sr:competitor:240320
Giles Hussey;sr:competitor:450343
Maxim Mrva;sr:competitor:948185
Hamish Stewart;sr:competitor:312728
Alex Hernandez;sr:competitor:353548
Woobin Shin;sr:competitor:437734
Petr Nesterov;sr:competitor:645452
Dominik Koepfer;sr:competitor:129368
Javier Barranco Cosano;sr:competitor:177686
Tommaso Compagnucci;sr:competitor:272281
Pedro Araujo;sr:competitor:452691
Gabriele Pennaforti;sr:competitor:790404
Anton Matusevich;sr:competitor:312438
Aristotelis Thanos;sr:competitor:637536
Jeffrey John Wolf;sr:competitor:234048
Petr Brunclik;sr:competitor:897995
Sasikumar Mukund;sr:competitor:117866
Andrea Picchione;sr:competitor:423131
Kokoro Isomura;sr:competitor:750283
Eric Vanshelboim;sr:competitor:435758
Olle Wallin;sr:competitor:617530
Dane Sweeny;sr:competitor:287541
Valerio Aboian;sr:competitor:498580
Juan Manuel La Serna;sr:competitor:785974
Maxwell McKennon;sr:competitor:379918
Antoine Ghibaudo;sr:competitor:675527
Branko Djuric;sr:competitor:634350
Renta Tokuda;sr:competitor:155684
Bor Artnak;sr:competitor:813476
Tristan Lamasine;sr:competitor:47767
Lorenzo Joaquín Rodríguez;sr:competitor:283451
Sergey Fomin;sr:competitor:208165
Olaf Pieczkowski;sr:competitor:729741
Rafael Jodar;sr:competitor:972327
Leo Borg;sr:competitor:681005
Nikolay Vylegzhanin;sr:competitor:310978
Dali Blanch;sr:competitor:588075
Yurii Dzhavakian;sr:competitor:60584
Dan Alexandru Tomescu;sr:competitor:168524
Florian Broska;sr:competitor:219534
Ergi Kirkin;sr:competitor:186629
Keegan Smith;sr:competitor:284835
Leandro Riedi;sr:competitor:603096
Micah Braswell;sr:competitor:431661
Enzo Couacaud;sr:competitor:74441
Eduardo Ribeiro;sr:competitor:210592
Alessandro Pecci;sr:competitor:620998
Takuya Kumasaka;sr:competitor:319243
Gianluca Cadenasso;sr:competitor:927343
Peter Bertran;sr:competitor:120958
Hernán Casanova;sr:competitor:54975
Tadeas Paroulek;sr:competitor:291272
Michael Vrbensky;sr:competitor:295508
Arthur Reymond;sr:competitor:180104
Luca Castelnuovo;sr:competitor:92667
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
